WKT,U_ID,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level,Sector
"MULTIPOLYGON (((535208.781 174792.364,535222.816 174801.426999999,535234.348 174783.568,535229.677 174780.551999999,535226.944 174784.785,535222.381 174781.838,535217.58 174778.738,535208.781 174792.364)),((535207.682 174806.028000001,535211.3 174809.231000001,535213.765 174806.446,535210.147 174803.243000001,535207.682 174806.028000001)),((535344.7 174853.050000001,535348.665 174843.545,535349.351 174841.901000001,535351.5 174836.75,535340.65 174832.25,535336.5 174830.5,535336.95 174829.449999999,535327.25 174825.4,535327.15 174825.35,535325.95 174828.199999999,535323.95 174832.949999999,535322.85 174832.5,535323.0 174832.1,535319.95 174830.800000001,535315.75 174829.050000001,535315.5 174829.449999999,535313.9 174828.800000001,535313.45 174829.9,535311.35 174829.0,535309.65 174833.050000001,535311.85 174834.0,535311.3 174835.35,535312.85 174836.0,535312.6 174836.65,535316.9 174838.4,535319.9 174839.699999999,535320.25 174838.949999999,535321.35 174839.4,535319.3 174844.300000001,535318.15 174847.1,535324.269 174849.647,535320.701 174858.219000001,535322.95 174859.15,535321.95 174861.550000001,535323.3 174862.15,535322.45 174864.1,535333.4 174868.65,535333.689 174867.955,535334.789 174868.412,535335.929 174865.668,535334.828 174865.210999999,535336.1 174862.15,535340.2 174863.85,535344.7 174853.050000001)))",944,Thames Water,,Honour Oak Treatment Works,,,,Homestall Road,,SE15 3AQ,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=7764537a-d4f5-4841-b462-3372a531a879_1566295920.jpg,Cities,Utilities infrastructure,,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,Utilities supply
"MULTIPOLYGON (((534776.1 174467.6,534766.35 174457.65,534764.4 174459.550000001,534763.178 174458.346000001,534761.144 174460.499,534765.18 174465.279999999,534774.2 174474.25,534777.4 174470.550000001,534775.25 174468.5,534776.1 174467.6)))",945,French Cafe Bistrot,,Cafe,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=a2ccab3e-8bc2-4afa-93e5-23b6d34496e8_1566297680.jpg,Cities,Fully / predominantly non-industrial other than housing,"P Resteraunts, cafes, takeaways",[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((534756.783 174445.418,534756.772 174445.403999999,534756.702 174445.316,534756.528 174445.454,534755.449 174446.311000001,534755.372 174446.214,534752.348 174442.407,534758.1 174437.75,534758.15 174437.0,534758.05 174436.050000001,534757.45 174435.35,534758.1 174434.85,534757.15 174433.15,534754.6 174435.199999999,534745.9 174442.199999999,534748.65 174445.4,534751.65 174449.199999999,534754.5 174452.630000001,534759.218 174448.859999999,534759.401 174448.714,534759.289 174448.572000001,534761.237 174447.022,534762.407 174446.091,534759.868 174442.971999999,534758.61 174443.970000001,534756.783 174445.418)))",946,Blossoms Montessori,,Pre School,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=838f3596-28d4-484a-8caa-6a8e3a17e602_1566297375.jpg,Cities,Fully / predominantly non-industrial other than housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((533711.95 179178.5,533692.929158606 179175.327960388,533700.22147985 179146.345342215,533714.4 179149.300000001,533712.05 179161.25,533716.84 179163.0,533713.9 179171.449999999,533715 179172,533711.95 179178.5)))",947,Goldfinch,Ground Floor,Custom Made Furniture,"Unit has use of operational yard, Yard for own use only","Level access to ground floor (e.g. items can be wheeled in), Pump truck, Fork lift truck used, Loading from vehicles in yard used",www.goldfinchfurniture.co.uk,Spa Road,"7",SE16 3pq,"2.0",https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=ce6b3c88-f566-4703-a6ad-411fd43e1ff4_1568503283.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=ce6b3c88-f566-4703-a6ad-411fd43e1ff4_1564667811.jpg,Cities,"Bespoke fabrication, other",,Stand alone (industrial),Industrial in predominantly industrial premises,yes,yes,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532249.85 180356.199999999,532241.35 180328.199999999,532203.9 180339.35,532211.772 180365.421,532212.4 180367.5,532249.85 180356.199999999)))",948,Sustainable Bankside,"Ground Floor, Level 1",Provide Flexible Co-Working / Office / Workshop Space,Unit has use of operational yard,"Level access to ground floor (e.g. items can be wheeled in), Fork lift truck used, Pump truck, Loading from vehicles in yard used",www.sustainableworkspaces.co.uk,Sumner Street,"105",SE1 9hz,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=8e5c690a-7245-46b7-80c8-ebc1a85fcbc7_1564661849.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=8e5c690a-7245-46b7-80c8-ebc1a85fcbc7_1564661865.jpg,Cities,Fully / predominantly non-industrial other than housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((534735.492045861 178921.644260312,534718.312327885 178915.255183029,534706.933434931 178950.22101684,534723.75 178955.949999999,534734.371685337 178924.917522649,534735.492045861 178921.644260312)))",949,Rico Group,Ground Floor,Logistics,Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",www.ricogroup.global.com,Drummond Road,"100",SE16 4DG,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=dc09dcb2-c79a-4e8f-9e8a-a05ea65f23d5_1564660247.jpg,Cities,Distribution / courier facility,,Branch (industrial),Industrial in predominantly industrial premises,no,no,no,no,yes,G,Transportation and Storage
"MULTIPOLYGON (((534117.13 179768.33,534104.52 179769.390000001,534104.97 179774.789999999,534117.58 179773.76,534117.13 179768.33)))",950,,,Residential,,,,,,,,,,Cities,Fully / predominantly housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((534090.12 179775.99,534101.98 179775.029999999,534101.53 179769.640000001,534089.67 179770.640000001,534090.12 179775.99)))",951,,,Residential,,,,,,,,,,Cities,Fully / predominantly housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((534075.64 179777.17,534087.48 179776.210000001,534087.03 179770.859999999,534075.19 179771.85,534075.64 179777.17)))",952,,,Residential,,,,,,,,,,Cities,Fully / predominantly housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((534682.893534138 179035.625777776,534693.950613196 179038.881691205,534695.399854211 179034.0845911,534684.558271255 179030.675525533,534682.893534138 179035.625777776)))",953,Lara Chamandi,Level 1,"Textile Manufacturer, Apparels",No associated yard space,Goods lift access,,Drummond Road,"100",SE16 4DG,"113.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f8910ef7-ef23-43df-ba88-e6df32069da4_1564659758.jpg,Cities,"Manufacture, other",C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,yes,L1,Manufacturing
