U id,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level
513,Adam Tylicki,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Adamtylicki.com,Canada Street,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
429,Christina Niederberger,Level 1,Artist,No associated yard space,Goods lift access,http://www.niederberger-paint.ch/,Thurlow Street,NA,SE17 2DG,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=e1d7925a-7f78-4474-bf6e-4b6434b18274_1568378470.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=e1d7925a-7f78-4474-bf6e-4b6434b18274_1568210793.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L1
526,Désirée Ickerodt,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Desireeickerodt.com,Surrey Quays,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
511,Ian Went,NA,Artist,Yard shared with others,Loading from vehicles in yard used,NA,Canada Street,NA,SE16 7pj,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=95284bc1-22c4-4e45-a351-7bc1dcb63eff_1566819522.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
516,Kenichi Shimizu,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Kenichishimizu.com,Canada Street,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
522,Kumyoung Kwon,NA,Artist,Yard shared with others,Loading from vehicles in yard used,NA,Surrey Quays Road,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
529,Lucy Hayhoe,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Haworthandhayhoe.com,Surrey Quays,NA,SE16 7PJ,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
512,Michelle Weiner,NA,Artist,Yard shared with others,Loading from vehicles in yard used,NA,Canada Street,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
518,Rodrigo Pires,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Rodrigopires.org,Surrey Quays Road,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
531,Romulo Goncalves,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Romulogoncalves.com,Surrey Quays Road,NA,SE16 7PJ,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
535,Rosa Beiroa,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Rosabeiroa.com,Surrey Quays Road,NA,SE16 7PJ,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
515,Sabina Stefanova,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Sabinastefanova.com,Canada Street,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
514,Tai Tran,NA,Artist,Yard shared with others,Loading from vehicles in yard used,NA,Canada Street,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
530,Vanessa Gould,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Vgould.org,Surrey Quays Road,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
817,Yun Kyung Jeong,Level 3,Artist,No associated yard space,Goods lift access,http://yunkyungjeong.com/,Clements Road,100,SE16 4DG,304.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=cfd6c69c-ea5d-4102-b554-0f5ecd936c32_1565002678.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L2
435,Carl Anderson,NA,Artist,No associated yard space,Goods lift access,Carlandersonart.com,Thurlow Street,NA,SE17 2dg,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=20fe5643-97f1-4980-a56b-2e34011a89f3_1568210940.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
431,Chiho Iwase,NA,Artist,No associated yard space,Goods lift access,chihoiwase.com,Thurlow Street,NA,se17 2dg,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1dade56b-224e-485f-8ac8-fafcaf12f723_1568210837.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
1166,João Abbott-Gribben,Level 1,Artist,Yard shared with others,Loading from vehicles in yard used,Joaoabbottgribben.com,Surrey Quays Road,NA,SE16 7PJ,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L1
424,John Walter,NA,Artist,No associated yard space,Goods lift access,johnwalter.net,Thurlow Street,NA,SE17 2DG,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=b2f02296-510e-4222-bcc0-a8d03533bc71_1568210686.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
425,Lottie Stoddart,Level 1,Artist,No associated yard space,Goods lift access,Lottiestoddart.com,Thurlow street,NA,SE17 2dg,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=a2b40534-5651-4b65-9a99-372e4f00f40e_1568121915.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L1
427,Nicholas Peall,Level 2,Artist,No associated yard space,Goods lift access,Nicholaspeall.com,Thurlow Street,NA,SE17 2dg,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=d8ca08ef-51b7-4c4b-97f4-35060467cff7_1568210751.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L2
433,Philip Chitty,NA,Artist,No associated yard space,Goods lift access,NA,Thurlow Street,NA,SE17 2DG,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=67d41d6c-9064-483f-8849-ce7b52e18129_1568210890.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
430,Sonia Martin,NA,Artist,No associated yard space,Goods lift access,soniamartin.co.uk,Thurlow Street,NA,SE17 2DG,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=91b3a3ad-88d8-4f15-a3e6-6defed674a2c_1568210815.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
426,Tin Tin Sann,NA,Artist,No associated yard space,Goods lift access,tintinsann.com,Thurlow Street,NA,SE17 2DG,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=bd536773-9cfe-45f7-a79c-6402b857b4e5_1568210726.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
